Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
CLOVER VLY CK - RAWHIDE,RAWC1,38.82084,-121.23167,CNRFC
ROBLA CK - RIO LINDA,RBAC1,38.66806,-121.44722,CNRFC
RICHMOND,RCNC1,37.93694,-122.34278,CNRFC
R06 - COLTON BOULEVARD,RCTC1,37.8395,-122.198,CNRFC
RODDY RANCH GOLF CLUB,RDEC1,37.99028,-121.78584,CNRFC
RODEO,REOC1,38.03611,-122.27028,CNRFC
ROCKY RIDGE,RGEC1,37.81583,-122.0625,CNRFC
RIO LINDA,RILC1,38.69806,-121.44861,CNRFC
SAN JOSE,RJSC1,37.39806,-121.80667,CNRFC
MARK WEST REGIONAL PARK,RKWC1,38.53583,-122.70139,CNRFC
SAN LEANDRO - ROLAND,RLNC1,37.74444,-122.205,CNRFC
R19 - MILES AVENUE,RMLC1,37.846,-122.2496,CNRFC
MATANZAS RESERVOIR,RMZC1,38.40667,-122.65139,CNRFC
RANCHO CORDOVA,RNCC1,38.6025,-121.31223,CNRFC
READER RANCH,RRRC1,39.30361,-121.11723,CNRFC
SANTA ROSA,RSAC1,38.47861,-122.71167,CNRFC
RANCHO SAN ANTONIO PARK,RSOC1,37.33,-122.11806,CNRFC
ROSE PEAK,RSPC1,37.50194,-121.73556,CNRFC
ROSSMOOR,RSSC1,37.87028,-122.06278,CNRFC
LAKE SONOMA RECREATION AREA,RSWC1,38.71611,-122.99667,CNRFC
FORT ORD,RTGC1,36.62694,-121.78639,CNRFC
R29 - 66TH AVENUE,RTNC1,37.7599,-122.1965,CNRFC
ROSEVILLE WTP,RTPC1,38.72417,-121.18694,CNRFC
RIVERSIDE GROVE,RVGC1,37.17468,-122.15009,CNRFC
ROSEVILLE FIRE STATION #2,RVLC1,38.75944,-121.3125,CNRFC
OLIVE RANCH,RVOC1,38.755,-121.20306,CNRFC
REDWOOD CITY,RWCC1,37.47667,-122.23861,CNRFC
SAN ANTONIO RESERVOIR,RZSC1,37.57722,-121.84583,CNRFC
,SAC,38.50694,-121.495,CNRFC
SAN LEANDRO MARINA,SALC1,37.69722,-122.19167,CNRFC
METRO AIR PARK,SAPC1,38.67361,-121.55778,CNRFC
SAN RAFAEL,SARC1,37.99833,-122.53722,CNRFC
SAN BRUNO MOUNTAIN,SBMC1,37.70222,-122.45694,CNRFC
SAN ANSELMO - FS 19,SBSC1,37.97667,-122.56333,CNRFC
SCHULTIES ROAD,SCHC1,37.13528,-121.96861,CNRFC
,SCK,37.89639,-121.25167,CNRFC
STOCKTON FIRE STATION,SCKC1,37.99944,-121.31778,CNRFC
CHINA GARDEN ROAD,SECC1,38.78722,-121.22111,CNRFC
SUNNYVALE WTP,SEVC1,37.35528,-122.05833,CNRFC
MARSH CK FIRE DEPT,SFFC1,37.89306,-121.865,CNRFC
,SFO,37.61917,-122.375,CNRFC
SAN FRANCISCO,SFOC1,37.77056,-122.42694,CNRFC
SF BAY WILDLIFE REFUGE,SFRC1,37.53056,-122.07222,CNRFC
SUISUN CITY,SFXC1,38.2225,-122.02556,CNRFC
STRONG RNCH CHANNEL CT,SHCC1,38.6025,-121.395,CNRFC
BEAR CK - SAND HILL RD,SHJC1,37.41,-122.24167,CNRFC
SHANTI ASHRAMA,SHNC1,37.31722,-121.47222,CNRFC
SHERMAN ISLAND,SIDC1,38.05778,-121.78611,CNRFC
FREMONT PEAK,SJBC1,36.75028,-121.5025,CNRFC
,SJC,37.35917,-121.92417,CNRFC
SAN JOSE,SJCC1,37.35,-121.9,CNRFC
R21 - SKYLINE BOULEVARD,SKHC1,37.7895,-122.1497,CNRFC
SAN LORENZO,SLCC1,37.68417,-122.13889,CNRFC
,SMF,38.70139,-121.59389,CNRFC
CSU - SACRAMENTO,SMTC1,38.55528,-121.41834,CNRFC
,SNS,36.66361,-121.60806,CNRFC
BLANCO CIRCLE - MCWRA,SNYC1,36.65056,-121.64528,CNRFC
SODA CREEK RS,SOAC1,39.43278,-122.98278,CNRFC
SODA CK - LOMA VISTA DR,SOPC1,38.37611,-122.28278,CNRFC
SOQUEL,SOQC1,36.99139,-121.95472,CNRFC
SUPHUR CREEK,SPHC1,38.49028,-122.48167,CNRFC
ARCADE CK - SUNRISE BLVD,SRBC1,38.68389,-121.27167,CNRFC
SARATOGA SUMMIT,SSUC1,37.23613,-122.1325,CNRFC
WEST YARD,STBC1,37.3075,-121.995,CNRFC
,STS,38.50389,-122.81028,CNRFC
SUGARLOAF PEAK,SUGC1,38.26444,-122.21583,CNRFC
,SUU,38.2625,-121.92722,CNRFC
SULPHUR CK - POPE ST,SUUC1,38.50528,-122.46389,CNRFC
SECRET RAVINE-BRACE RD,SVBC1,38.81042,-121.19033,CNRFC
STEVENS CREEK RESERVOIR,SVPC1,37.30278,-122.09167,CNRFC
SANTA LUCIA CONSERVANCY,SXLC1,36.48613,-121.79388,CNRFC
SLEEPY HOLLOW - FS 20,SYIC1,37.99167,-122.57611,CNRFC
SWEENEY CREEK AT PSC,SYPC1,38.44333,-121.95528,CNRFC
STONYFORD,SYWC1,39.36722,-122.57278,CNRFC
SCOTT,SZCC1,37.13889,-122.20306,CNRFC
TASSAJARA,TASC1,37.7875,-121.875,CNRFC
TIBURON,TBNC1,37.89917,-122.50222,CNRFC
THORNSBERRY TANK,THBC1,38.29583,-122.41583,CNRFC
TROUGH SPRING,THSC1,39.29611,-122.65389,CNRFC
BENSON FERRY,THTC1,38.25583,-121.43889,CNRFC
TILDEN PARK,TLDC1,37.88361,-122.22195,CNRFC
TOMASINI POINT,TMPC1,38.11694,-122.85722,CNRFC
MOUNT TORO,TORC1,36.52806,-121.61,CNRFC
TARGET RETENTION,TRBC1,38.74611,-121.25778,CNRFC
TRAPPERS TRAIL,TTLC1,37.34611,-122.18083,CNRFC
UNION CITY MUNICIPAL BLDG,UCHC1,37.5874,-122.0269,CNRFC
,UKI,39.12611,-123.19972,CNRFC
CHANATE RD BELOW PINER RSVR,ULNC1,38.46778,-122.7125,CNRFC
MORRISON CK - WATT AVE,UMKC1,38.51806,-121.36945,CNRFC
MT UMUNHUM,UMNC1,37.15806,-121.90361,CNRFC
UPPER CROW CANYON,UPNC1,37.737,-122.0323,CNRFC
MILL VALLEY UPPER,UPYC1,37.87439,-122.53209,CNRFC
BRUSH CK - BADGER RD,USHC1,38.48222,-122.67278,CNRFC
SAN LEANDRO RESERVOIR,USVC1,37.76445,-122.09805,CNRFC
UNITED TECH CORP,UTCC1,37.22278,-121.675,CNRFC
UVAS RESERVOIR,UVAC1,37.06556,-121.6875,CNRFC
UVAS CANYON COUNTY PARK,UVSC1,37.11389,-121.79722,CNRFC
SUWANNA RANCH CO RD 410,UWNC1,39.48472,-122.51389,CNRFC
VALLE ARROYO,VAEC1,37.56139,-121.68472,CNRFC
LOS VAQUEROS,VAQC1,37.78833,-121.73637,CNRFC
MT DIABLO PEAK,VAUC1,37.87972,-121.91944,CNRFC
,VCB,38.37778,-121.9575,CNRFC
VALLEY CHRISTIAN,VCHC1,37.24083,-122.06778,CNRFC
VENADO,VENC1,38.6087,-123.01806,CNRFC
GREEN VALLEY,VLGC1,38.44274,-122.88721,CNRFC
CITRUS HEIGHTS,VNMC1,38.69833,-121.30861,CNRFC
VASONA PUMP STATION,VPMC1,37.25861,-121.96028,CNRFC
VIEIRA RANCH,VRNC1,37.66472,-121.46889,CNRFC
SAN LORENZO VLY WATER DIST,VWDC1,37.12344,-122.12186,CNRFC
VINEYARD WTP,VWTC1,38.50008,-121.31258,CNRFC
WILLOW BROOK,WBRC1,38.31667,-122.6,CNRFC
WARM SPRINGS,WBVC1,37.46944,-121.91861,CNRFC
WESTWIND COMMUNITY BARN,WBXC1,37.36583,-122.15916,CNRFC
CASTRO VALLEY 3NE,WCCC1,37.73333,-122.04722,CNRFC
WASHINGTON CREEK,WCRC1,38.31222,-122.58528,CNRFC
WOODACRE,WDAC1,37.99056,-122.64472,CNRFC
WOODLAND,WDDC1,38.68833,-121.79472,CNRFC
WINDY GAP,WDGC1,39.23437,-123.00495,CNRFC
WESTLEY,WESC1,37.51722,-121.23084,CNRFC
WILLOW/HUMBUG CK CONFLUENCE,WHBC1,38.66083,-121.1575,CNRFC
WILLITS HOWARD,WILC1,39.29722,-123.28917,CNRFC
COUNTY LINE,WISC1,39.01889,-122.41167,CNRFC
WEST LITTLE LLAGAS CREEK,WLGC1,37.13556,-121.67167,CNRFC
WINDY HILL,WNDC1,37.35806,-122.24,CNRFC
WOODCREEK OAKS BLVD,WOBC1,38.78667,-121.33056,CNRFC
WEAPONS STATION FS,WPNC1,38.01861,-122.02084,CNRFC
WARM SPRINGS DAM,WSDC1,38.72306,-123.01,CNRFC
WHISPERING PINES,WSPC1,38.8,-122.71694,CNRFC
WUNDERLICH,WUNC1,37.40222,-122.24167,CNRFC
,WVI,36.93944,-121.78889,CNRFC
BULLARDS BAR,WXBC1,39.39611,-121.14389,CNRFC
AUSTIN CREEK,XACC1,38.564,-123.01458,CNRFC
ANDERSON DAM,XANC1,37.16444,-121.62694,CNRFC
BALD MOUNTAIN,XBMC1,38.45833,-122.51,CNRFC
NEW BULLARDS BAR DAM - CW3E,XBWC1,39.39635,-121.14377,CNRFC
MARIN CIVIC CENTER,XCCC1,37.99861,-122.53416,CNRFC
COAST DAIRIES,XCDC1,37.03083,-122.18785,CNRFC
SANTA ROSA CK - E ST,XDSC1,38.43972,-122.70889,CNRFC
HELLS DELIGHT,XHDC1,39.26771,-123.14731,CNRFC
ANTELOPE - LAKE PLACID CT,XLPC1,38.72358,-121.36697,CNRFC
MCCREA TRAIL PARCEL,XMTC1,38.32889,-122.5475,CNRFC
MARK WEST CK/MICHELE RD,XMWC1,38.51167,-122.72417,CNRFC
PENSTOCK RD - LOCKHEED CZU,XOIC1,37.107,-122.2094,CNRFC
MOFD PORTABLE,XOSC1,37.89961,-122.21582,CNRFC
MARK WEST CK/PRTR CK RD,XPCC1,38.54945,-122.72,CNRFC
REDWOOD VALLEY PINEVIEW,XRVC1,39.28517,-123.30475,CNRFC
SPRING CK - DIVERSION,XSCC1,38.44028,-122.64833,CNRFC
SPRING LAKE,XSLC1,38.45694,-122.65722,CNRFC
LOWER CRYSTAL SPRINGS,XTLC1,37.5325,-122.36305,CNRFC
YGNACIO VALLEY FS,YGNC1,37.93778,-122.02722,CNRFC
REDWOOD CK MT VEEDER RD,YNTC1,38.33389,-122.37,CNRFC
MOUNT VEEDER,YOUC1,38.36444,-122.41861,CNRFC
YORKVILLE,YRKC1,38.90528,-123.23139,CNRFC
SKYFARM WATER TANK,YWTC1,38.49194,-122.71694,CNRFC
ZONE 7 DEL VALLE WTP,ZDVC1,37.6329,-121.7841,CNRFC
LAKE BERRYESSA - USBR,ZODC1,38.55167,-122.22334,CNRFC
ZONE 7 PATTERSON PASS WTP,ZPPC1,37.6948,-121.6837,CNRFC
