Rain Guage Name,Station Id,Latitude,Longitude,Sensor Group
COE PARK,COEC1,37.18167,-121.54278,CNRFC
COLGATE POWERHOUSE,COGC1,39.33083,-121.19,CNRFC
LAGUNA SECA,COMC1,37.20028,-121.73194,CNRFC
CORRALITOS,CORC1,36.98972,-121.805,CNRFC
WILTON,COSC1,38.41667,-121.27972,CNRFC
LYONS VALLEY,COWC1,39.12583,-123.07333,CNRFC
COYOTE RESERVOIR,COYC1,37.08861,-121.53806,CNRFC
LOS MEDANOS,CPPC1,37.9975,-121.85639,CNRFC
CAPERTON RESERVOIR,CPRC1,38.86194,-121.21944,CNRFC
CIRBY CK - TINA LANE,CRBC1,38.73222,-121.27917,CNRFC
RIO COSUMNES CORRECTION CTR,CRCC1,38.30639,-121.42445,CNRFC
CRESTA PARK,CRPC1,38.59278,-121.36889,CNRFC
CORRAL HOLLOW RD,CRRC1,37.66333,-121.46694,CNRFC
COSUMNES RIVER COLLEGE,CRUC1,38.45833,-121.42028,CNRFC
CIRBY CREEK - LORETTO,CSGC1,38.73611,-121.26111,CNRFC
CORRALITOS CDF,CTOC1,36.99083,-121.805,CNRFC
CURTNER RANCH,CTRC1,37.46694,-121.87639,CNRFC
CUMMINGS PEAK,CUMC1,38.02806,-122.19694,CNRFC
LAKE CURRY,CURC1,38.35778,-122.12695,CNRFC
CASTRO VALLEY CREEK,CVCC1,37.68,-122.07945,CNRFC
,CVH,36.89333,-121.41028,CNRFC
CRYSTAL SPRINGS,CXCC1,37.49611,-122.32889,CNRFC
CALERO,CXOC1,37.18861,-121.77111,CNRFC
CORDOZA RIDGE,CZRC1,37.16834,-121.52845,CNRFC
DAVENPORT,DAPC1,37.01972,-122.19167,CNRFC
NAPA R - DUNAWEAL LANE,DAWC1,38.56861,-122.555,CNRFC
DILLON BEACH,DBEC1,38.2575,-122.95778,CNRFC
DIABLO GRANDE,DBLC1,37.32917,-121.29528,CNRFC
DRY CREEK FIRE STATION,DCFC1,38.40556,-122.46667,CNRFC
DECOTO AT I-880,DCTC1,37.56583,-122.03694,CNRFC
DRY CK - WHEATLAND,DCWC1,39.02639,-121.43611,CNRFC
AMERICAN R - D05,DFBC1,38.585,-121.42,CNRFC
AMERICAN R - D05,DFRC1,38.58472,-121.42111,CNRFC
MT DIABLO PARK HQ,DIAC1,37.85028,-121.93167,CNRFC
DRY CREEK - NEMDC,DIVC1,38.66555,-121.47722,CNRFC
DUCK CREEK - STOCKTON,DKSC1,37.92167,-121.26917,CNRFC
DIAMOND OAKS GC,DMDC1,38.77306,-121.28472,CNRFC
ROYER PARK,DRCC1,38.74806,-121.2825,CNRFC
DRY CK - WASHINGTON ST,DSAC1,38.365,-122.34222,CNRFC
DUBLIN - SAN RAMON,DSRC1,37.73139,-121.92778,CNRFC
DOTY RAVINE,DTRC1,38.9375,-121.26667,CNRFC
DANVILLE LIBRARY,DVBC1,37.82083,-121.99556,CNRFC
,DVO,38.14361,-122.55611,CNRFC
,DWA,38.57939,-121.85694,CNRFC
DEERWOOD,DWDC1,39.19772,-123.15992,CNRFC
SAUGSTAD PARK,DYSC1,38.74,-121.285,CNRFC
,E16,37.08167,-121.59695,CNRFC
ETICUERA CK - BERRYESSA,ECUC1,38.69695,-122.28806,CNRFC
EDMUNDSON AVENUE,EDMC1,37.11139,-121.64417,CNRFC
EDEN RESERVOIR,EDNC1,37.72139,-122.02028,CNRFC
,EDU,38.53139,-121.78639,CNRFC
DRY CK - ELKHORN BLVD,EKHC1,38.68417,-121.44833,CNRFC
EUREKA CANYON,EKNC1,37.03583,-121.80306,CNRFC
LAGUNA CK - WATERMAN RD,ELGC1,38.42278,-121.35333,CNRFC
ELKHORN SLOUGH,ELXC1,36.81805,-121.73944,CNRFC
LAGUNA CK - EAGLES NEST RD,ENRC1,38.48528,-121.26083,CNRFC
EAST PARK RESERVOIR,EPRC1,39.35917,-122.51778,CNRFC
ENDORA LIFT STATION,ERLC1,38.78861,-121.30139,CNRFC
ELDER CK - STOCKTON BLVD,ERSC1,38.47944,-121.42389,CNRFC
R32 - ETTIE STREET,ETEC1,37.826,-122.2891,CNRFC
EVERGREEN,EVGC1,37.30472,-121.73694,CNRFC
ENGLEBRIGHT RESERVOIR,EWXC1,39.2397,-121.267,CNRFC
BUCKEY CREEK RANCH,EYCC1,38.67,-122.74223,CNRFC
